canonical_tag,synonym1,synonym2,synonym3,synonym4,synonym5,synonym6,synonym7,synonym8,synonym9,synonym10,synonym11,synonym12,synonym13,synonym14,synonym15,synonym16,synonym17,synonym18,synonym19,synonym20,synonym21,synonym22,synonym23,synonym24,synonym25,synonym26,synonym27,synonym28,synonym29,synonym30,synonym31,synonym32,synonym33,synonym34,synonym35,synonym36,synonym37,synonym38,synonym39,synonym40,synonym41,synonym42,synonym43,synonym44,synonym45,synonym46,synonym47,synonym48,synonym49,synonym50,synonym51,synonym52,synonym53,synonym54,synonym55,synonym56,synonym57,synonym58,synonym59,synonym60,synonym61,synonym62,synonym63,synonym64,synonym65,synonym66,synonym67,synonym68,synonym69,synonym70,synonym71,synonym72,synonym73,synonym74,synonym75,synonym76,synonym77,synonym78,synonym79,synonym80,synonym81,synonym82,synonym83,synonym84,synonym85,synonym86,synonym87,synonym88,synonym89,synonym90,synonym91,synonym92,synonym93,synonym94,synonym95,synonym96,synonym97,synonym98,synonym99,synonym100,synonym101,synonym102,synonym103,synonym104,synonym105,synonym106,synonym107,synonym108,synonym109,synonym110,synonym111,synonym112,synonym113,synonym114,synonym115,synonym116,synonym117,synonym118,synonym119,synonym120,synonym121,synonym122,synonym123,synonym124,synonym125,synonym126,synonym127,synonym128,synonym129,synonym130,synonym131,synonym132,synonym133,synonym134,synonym135,synonym136,synonym137,synonym138,synonym139,synonym140,synonym141,synonym142,synonym143,synonym144,synonym145,synonym146,synonym147,synonym148,synonym149,synonym150,synonym151,synonym152,synonym153,synonym154,synonym155,synonym156,synonym157,synonym158,synonym159,synonym160,synonym161,synonym162,synonym163,synonym164,synonym165,synonym166,synonym167,synonym168,synonym169,synonym170,synonym171,synonym172,synonym173,synonym174,synonym175,synonym176,synonym177,synonym178,synonym179,synonym180,synonym181,synonym182,synonym183,synonym184,synonym185,synonym186,synonym187,synonym188,synonym189,synonym190,synonym191,synonym192,synonym193,synonym194,synonym195,synonym196,synonym197,synonym198,synonym199,synonym200,synonym201,synonym202,synonym203,synonym204,synonym205,synonym206,synonym207,synonym208,synonym209,synonym210,synonym211,synonym212,synonym213,synonym214,synonym215,synonym216,synonym217,synonym218,synonym219,synonym220,synonym221,synonym222,synonym223,synonym224,synonym225,synonym226,synonym227,synonym228,synonym229,synonym230,synonym231,synonym232,synonym233,synonym234,synonym235,synonym236,synonym237,synonym238,synonym239,synonym240,synonym241,synonym242,synonym243,synonym244,synonym245,synonym246,synonym247,synonym248,synonym249,synonym250,synonym251,synonym252,synonym253,synonym254,synonym255,synonym256,synonym257,synonym258,synonym259,synonym260,synonym261,synonym262,synonym263,synonym264,synonym265,synonym266,synonym267,synonym268,synonym269,synonym270,synonym271,synonym272,synonym273,synonym274,synonym275,synonym276,synonym277,synonym278,synonym279,synonym280,synonym281,synonym282,synonym283,synonym284,synonym285,synonym286,synonym287,synonym288,synonym289,synonym290,synonym291,synonym292,synonym293,synonym294,synonym295,synonym296,synonym297,synonym298,synonym299,synonym300,synonym301
John Dawlish,Auror Dawlish,Dawlish,Dwalish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Justin Finch-Fletchley,Justin Finch Flechly,Justin Finch Fletchley,Justin Finch-Fletchery,Justin Finch-Fletchey,"Justin Finch-Fletchley ""Bond""",Justin Finch-Fletchley (mentioned),Justin Finch-Fletchly,Justin Finch–Fletchley,Justin Flinch-Fletcher,Justin Flinch-Fletchley,Justin Flinch-Fletchy,mentioned Justin Finch-Fletchley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Katie Bell,baby!Katie,Kaite Bell,"Katie Bell ""Ruby""",Katie Bell (brief mention),Katie Bell (mentioned),Katie Bell - Mentioned,KatieBell,Katy Bell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kingsley Shacklebolt,Kinglsey Shacklebolt,Kinglsey Shaklebolt,Kinglsley shacklebolt,Kingsley Sha,Kingsley Shackelbolt,Kingsley Shacklebold,Kingsley Shacklebolt (Brief),Kingsley Shacklebolt (mentioned),Kingsley Shacklebolt - mentioned,Kingsley Shacklebolt?,Kingsley Shacklebot,Kingsley Shacklebun,Kingsley Shaklebolt,Mentioned Kingsley Shacklebolt,Minister of Magic Kingsley Shacklebolt (Mentioned),Shacklebolt,Shacklebolt (Harry Potter),Кингсли Бруствер (Шеклболт),Кингсли Шеклболт,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kreacher (Harry Potter),Kreacher (mentioned),Kreacher - Character,Kreacher the cat,Kreature,Mentioned Kreacher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lavender Brown,Badass!Lavender Brown,Ghost Lavender Brown,Lanvender Brown,Lavanda Braun,Lavande Brown,Lavander Bronw,Lavander Brown,Lavendar Brown,"Lavender Brown ""Aurora""",Lavender Brown (briefly),Lavender Brown (mentioned occasionally),Lavender Brown (mentioned),Lavender Brown (mentionned),Lavender Brown - mentioned,Leavendar Brown,mentioned Lavender Brown,mentions of Lavender Brown,or Lavender,werewolf!Lavender Brown,Лаванда Браун,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lee Jordan,Jordan Lee,Lee Jordan (mentioned),Lee Jordan mentioned,Lee Jordan | River,Lee Jorden,Lee Jordon,mentioned Lee Jordan,mentions of Lee Jordan,That one (probably drunk) announcer Gryffindor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lily Evans Potter,( Mentioned) Lily Evans Potter,(background) Lily Potter,(mentioned) Lily Potter,A little bit of my girl Lily Evans,Alternate Lily Potter,background Lily Evans,Brief mentions of Lily Evans Potter,Ghost Lily Evans,Ghost Lily Evans Potter - Character,Ghost Lily Potter,Ghost!Lily Evans Potter,imaginary Lily Potter,implied Lily Evans Potter,Josie Benn,Karen Gillan as Lily Evans,Lady Lily Peverell née Evans (Lily Potter née Evans),Liam Evans,Lilith/Lily Potter,Lillian Evans,Lilly Evans,Lilly Evans (mentioned),Lilly Evans (Referenced),Lilly Evans Potter,Lilly Evans Potter (mentioned),Lilly Potter,Lilly Potter ne Evens,Lily Aurelia Sophia Potter nee Evans,Lily Evan,Lily Evans,Lily Evans (background),Lily Evans (but not a lot of her),Lily Evans (mention),Lily Evans (mentioned),Lily Evans (metioned),Lily Evans (past),Lily Evans (Snape) Potter,Lily Evans - Mentioned,Lily Evans is mentioned,Lily Evans mentioned,Lily Evans Potter ( mention ),Lily Evans Potter (Kind of),Lily Evans Potter (Liam),Lily Evans Potter (mencionada),Lily Evans Potter (mention),Lily Evans Potter (mentioned),Lily Evans Potter (Referenced),Lily Evans Potter (sort of),Lily Evans Potter - Mentioned,Lily Evans Potter Mention Only,Lily Evans Potter mentioned,Lily Evans Potter | Lily Sioned Evans,Lily Evans Potter(FeS2),Lily Evans Potter(mentioned),Lily Evans Potter(still brief),Lily Evans Snape,Lily evans(mentioned),Lily Evans-Potter,Lily Evans-Potter (in mention and/or flashback),lily Evans/ Potter,Lily Evans/Potter,Lily Evans/Potter (briefly mentioned),Lily Evans/Potter (mentioned),Lily Even,lily evens,lily evens potter,lily is mentioned like once i think,Lily LeFae nee Evans,lily mentioned,Lily Potter,Lily Potter (Deceased),Lily Potter (Flashbacks),Lily Potter (Harry’s mom),lily potter (kinda),Lily Potter (mention),Lily Potter (mentioned),Lily Potter (Portrait),Lily Potter - mentioned,Lily Potter Bashing - Character,Lily Potter Evans,Lily Potter mentioned,Lily Potter nee Evans(mentioned),Lily Potter née Evans,lily potter(deceased),Lily Potter(mentioned),Lily Potter-Evans,Lily Potters,Lily Prewett-Evans,Lily Snape,Male Lily Evans Potter - Character,Male!Lily Evans,Male!Lily Evans Potter - Character,mention of Lily - Character,Mention of Lily Evans,Mentioned - Lily Evans,mentioned Lily Evans,mentioned Lily Evans Potter - Character,Mentioned Lily Potter,mentioned: Lily Evans Potter,Mentioning of Lily Evans Potter,Mentions Lily Evans,mentions of Lily Evans - Character,Mentions of Lily Evans Potter,Mentions of Lily Evans(Potter),Mentions of Lily Potter,Minor Lily Evans,missis potter,Nurse Lily Potter,Past Lily,past-Lily Evans,Photograph of Lily Evans,Portrait Lily Evans,Portrait Lily Evans Potter - Character,Portrait Lily Potter,Referenced Lily Potter,Resurrection Stone Lily Potter,spirit lily evans potter,The Ghost of Lily Evans Potter,The Marvellous Josie Benn,Uni!Lily Evans,young lilly evans,Young Lily - Character,Young Lily Evans,Лили Поттер,莉莉伊万斯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lily Luna Potter,harry potter's daughter,Lilly L.P.,Lilly Luna Potter,Lilly Luna Potter (renamed),Lily II Potter,Lily is Lily Molly,Lily Jr.,Lily L Potter,Lily L. Potter,Lily Lima Potter,Lily Lovegood-Potter,Lily LP,Lily Luna - Character,Lily Luna Greengrass-Lovegood-Malfoy-Potter-Weasley,Lily Luna Malfoy-Potter,Lily Luna P,Lily Luna Potter (briefly),Lily Luna Potter (Harry Potter),Lily Luna Potter (ment),Lily Luna Potter (mention),Lily Luna Potter (mentioned only),Lily Luna Potter (mentioned),Lily Luna Potter (more like in the background),Lily Luna Potter',Lily Luna Potter-Malfoy,Lily Luna Weasley-Potter,Lily Potter (H/Hr's daughter),Lily Potter (the younger),Lily Potter II,Lily Potter Jr.,Lily Potter the second,Lily Potter-Malfoy,Lily provides comfort,Lily Weasley-Potter,mentioned Lily Luna Potter,Mini Lilly - Character,Лили Луна Поттер,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lisa Turpin,Lica Turpin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lorcan Scamander,Locran Scamander,Lorcan Longbottom,Lorcan Lovegood,Lorcan Scamander (mentioned),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louis Weasley,Louis Weasley|Lou Delacour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucius Malfoy,(mention of) Lucius Malfoy,Alpha Lucius Malfoy - Character,Alternate Lucius Abraxas Malfoy,backround Lucius Malfoy,brief Lucius Malfoy,Dismebodied Lucius Malfoy,Ghost Lucius Malfoy,Implied - Lucius Malfoy,Jason Isaacs as Lucius Malfoy,kid!Lucius Malfoy,Luciius Malfoy,lucious malfoy,Lucious Malfoy (mentioned),Lucius Abraxus Malfoy,Lucius Mafoy,Lucius Malefoy,Lucius Malfor,Lucius Malfory,Lucius Malfou,Lucius Malfoy ( mentionned ),Lucius Malfoy (background),Lucius Malfoy (briefly),Lucius Malfoy (deceased),Lucius Malfoy (Fifth Year),Lucius Malfoy (if you squint really hard),Lucius Malfoy (implied),Lucius Malfoy (kinda),Lucius Malfoy (mentioned only),Lucius Malfoy (Mentioned),Lucius Malfoy (menzionato),Lucius Malfoy (minor mention),Lucius Malfoy (Past) - Character,Lucius Malfoy (referenced),Lucius Malfoy (Sorry),Lucius Malfoy - mentioned,Lucius Malfoy in Traum,Lucius Malfoy mentioned,Lucius Malfoy',Lucius Malfoy's portrait,Lucius Malfoy(Mentioned),Lucius Malfy,Lucjusz Malfoy,Lucuis Malfoy,Luicus Malfoy,Luscious Malfoy,Mention of Lucius Malfoy,mentioned Lucius Malfoy - Character,mentioned Portrait Lucius Malfoy,Mentions of Lucious Malfoy - Character,mentions of Lucius Malfoy,Mentions: Lucius Malfoy,Portrait Lucius Malfoy - Character,Possible Lucius Malfoy,Referenced Lucius Malfoy,sorry I meant Lucius,Young Lucius Malfoy - Character,young!lucius - Character,Люциус,Люциус Малфой,卢修斯,卢修斯·马尔福,魯休斯馬份,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucy Weasley,Lucy Weasley (mentioned),Lucy Wesley,Lucy Wood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ludo Bagman,Bagman (mentioned),Beta/Omega Ludovric Bagman,Ludo Bagman (mentioned),Ludovric Bagman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luna Lovegood,Alternate Universe Luna Lovegood,Alternative Healer Luna Lovegood,background Luna Lovegood,brief appearance of Luna Lovegood,Brief mention of Luna Lovegood,Dark Future Luna Potter,Fae!Luna,flashback - Luna Lovegood,Luna (wolf),Luna Dragonneau,Luna Longbottom,Luna love good,Luna Lovegod,"Luna Lovegood ""Mad Hatter""",Luna Lovegood (alt. Uni),Luna Lovegood (Harry Potter),Luna Lovegood (HP),Luna Lovegood (kind of),Luna Lovegood (Mentioned),Luna Lovegood (mentionned),Luna Lovegood (past),Luna Lovegood - mention,Luna Lovegood - mentioned,Luna Lovegood cameo,Luna Lovegood Longbottom,Luna Lovegood Malfoy,Luna Lovegood mentioned,Luna Lovegood Weasley,Luna Lovegood | Phyllis Moonchild,Luna Lovegood —Mentioned,Luna Lovegood(mentioned),luna lovegood(very little),Luna Lovegood-Longbottom,Luna Lovegoood,Luna Lovekiva,Luna Loveood,Luna Lovergood,Luna Seleste Davina Potter(luna lovegood),Luna “mon Hibou[my Owl]” Pandora Lovegood,Male Luna Lovegood,Mention Luna Lovegood,Mention of Luna Lovegood,Mentioned Luna Lovegood,Seer!Luna - Character,Serena Stark | Luna Lovegood,Луна Лавгуд,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lyall Lupin,John Lupin,John Lupin (Remus' Father),Lyall Lupin (in the background),Lyall Lupin (mentioned),Mr Lupin,Mr. Lupin,Remus Lupin's dad,Remus Lupin's father,remus's dad,Young Lyall Lupin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lysander Scamander,Lysander Longbottom,Lysander Lovegood,Lysander Scamander (mentioned),Lysandra Scamander,Lysandre Dragonneau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madam Rosmerta,Madam Rosemerta,Madam Roserta,Madam Rosmerta,Madam Rosmerta (implied),Madam Rosmerta (mentioned),Madame Rosemerta,Madame Rosmerta,Rosemerta,rosmerta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malfoy Family,All Malfoy,and other Malfoys,Assorted Malfoys,Becomes part of the Malfoy family,Draco Malfoy's children,Draco's Parents,Familia Malfoy,Malfor Family,Malfoy Family (Harry Potter) - Mentioned,Malfoy Family (Mentioned),Malfoy Family - Character,Malfoy's,Malfoy-Familiy,Malfoys,Mentions of Malfoy family,Mentions of the Malfoy family,mentions of the Malfoys,Mr. & Mrs. Malfoy,Redeemed!Malfoys,the briefest of brief mentions of the Malfoys,the malfoy children,The Malfoy Family - Character,The Malfoy's,The Malfoys,The Malfoys (briefly),The Malfoy’s,Various Malfoys,Малфои,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mandy Brocklehurst,Mandy Brocklehearst,Mandy Brocklehurts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marauders (Harry Potter),and some marauder cameos,Canon Marauders - Character,Every fucker from the marauders era tbh mate,fem!Marauders - Character,Female marauders - Character,Huncwoci,Les Maraudeurs,Maraduers,Marauders (briefly),Marauders (Harry Potter) Harry Potter,Marauders (mentioned),Marauders - Character,Marauders minus Prongs,Maraudeurs,marotos - Character,maruader,Maruders - Character,Mauraders - Character,Mentioned Marauders,mentions of marauders,mentions of other marauders,Mentions of the marauders,minor mention of the other Marauders,Modern Marauders - Character,Most of the Marauders,MWPP - Character,obviously the other marauders too,Other Marauders (mentioned),other marauders cameos,the Marauders,The Marauders (Harry Potter),The Marauders and Others,the marauders make a cameo,The Maraunders,The Mauraders - Character,The Maurauders,The other Marauders but they're really on the back burner,the other marauders make appearances,the regulars from any mmwp fic tbh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcus Flint,Marcus Flint - mentioned,mentioned Marcus Flint,Маркус Флинт,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marge Dursley,Aunt Marge,Aunt Marge Dursley,Majorie Dursley,Marge Dursley (mentioned),Marjorie Dursley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
